BRANCH1,SUBJECT,YEAR,UNIT,QUESTION,OPTION A,OPTION B,OPTION C,OPTION D,ANSWER,BRANCH
CSE,ENGINEERING PHYSICS,1,1,What is the main inadequacy of classical mechanics highlighted by quantum mechanics?,It cannot explain the motion of planets,It fails to account for the behavior of particles at atomic scales,It does not consider gravitational forces,It is too complex for practical applications, It fails to account for the behavior of particles at atomic scales,CSE-1
CSE,ENGINEERING PHYSICS,1,1,Planck's theory of black body radiation introduced the concept of:,Continuous energy distribution,Quantized energy levels, Classical wave behavior,Thermodynamic equilibrium,Quantized energy levels,CSE-1
CSE,ENGINEERING PHYSICS,1,1,The Compton effect demonstrates:,The wave nature of light,The particle nature of photons,The dual nature of electrons,The conservation of energy,The particle nature of photons,CSE-1
CSE,ENGINEERING PHYSICS,1,2,Stoke's theorem relates:,Surface integrals to line integrals,Volume integrals to surface integrals,Current density to electric field,Magnetic field to electric field,Surface integrals to line integrals,CSE-1
CSE,ENGINEERING PHYSICS,1,2,What does the displacement current account for in Maxwell's equations?,The flow of electric charge,The changing electric field in a capacitor,The magnetic field around a wire,The conduction current in metals,The changing electric field in a capacitor,CSE-1
CSE,ENGINEERING PHYSICS,1,3,Coherent sources are essential for:,Diffraction,Interference,Refraction,Reflection,Interference,CSE-1
CSE,ENGINEERING PHYSICS,1,3,Newton's Rings experiment is used to determine:,The wavelength of light,The refractive index of materials, The thickness of thin films,The speed of sound,The wavelength of light,CSE-1
CSE,ENGINEERING PHYSICS,1,4,The principle behind optical fibers is:,Reflection,Refraction,Total internal reflection,Diffraction,Total internal reflection,CSE-1
CSE,ENGINEERING PHYSICS,1,4,Which laser operates on the principle of stimulated emission using a gas medium?,Ruby laser,He-Ne laser, Semiconductor laser,CO2 laser,He-Ne laser,CSE-1
CSE,ENGINEERING PHYSICS,1,5,The Meissner effect is associated with:,The absorption of magnetic fields,The expulsion of magnetic fields from a superconductor,The increase of resistance in superconductors,The formation of Cooper pairs,The expulsion of magnetic fields from a superconductor,CSE-1
CSE,ENGINEERING PHYSICS,1,5,Quantum dots are characterized by:,Two-dimensional structures,Zero-dimensional structures,One-dimensional structures,Three-dimensional structures without quantum effects,Zero-dimensional structures,CSE-1
CSE,ENGINEERING PHYSICS,1,5,Which type of superconductor allows partial penetration of magnetic fields?,Type I,Type II,High-temperature superconductors,None of the above,Type II,CSE-1
IT,ENGINEERING PHYSICS,1,1,What is the main inadequacy of classical mechanics highlighted by quantum mechanics?,It cannot explain the motion of planets,It fails to account for the behavior of particles at atomic scales,It does not consider gravitational forces,It is too complex for practical applications, It fails to account for the behavior of particles at atomic scales,IT-1
IT,ENGINEERING PHYSICS,1,1,Planck's theory of black body radiation introduced the concept of:,Continuous energy distribution,Quantized energy levels, Classical wave behavior,Thermodynamic equilibrium,Quantized energy levels,IT-1
IT,ENGINEERING PHYSICS,1,1,The Compton effect demonstrates:,The wave nature of light,The particle nature of photons,The dual nature of electrons,The conservation of energy,The particle nature of photons,IT-1
IT,ENGINEERING PHYSICS,1,2,Stoke's theorem relates:,Surface integrals to line integrals,Volume integrals to surface integrals,Current density to electric field,Magnetic field to electric field,Surface integrals to line integrals,IT-1
IT,ENGINEERING PHYSICS,1,2,What does the displacement current account for in Maxwell's equations?,The flow of electric charge,The changing electric field in a capacitor,The magnetic field around a wire,The conduction current in metals,The changing electric field in a capacitor,IT-1
IT,ENGINEERING PHYSICS,1,3,Coherent sources are essential for:,Diffraction,Interference,Refraction,Reflection,Interference,IT-1
IT,ENGINEERING PHYSICS,1,3,Newton's Rings experiment is used to determine:,The wavelength of light,The refractive index of materials, The thickness of thin films,The speed of sound,The wavelength of light,IT-1
IT,ENGINEERING PHYSICS,1,4,The principle behind optical fibers is:,Reflection,Refraction,Total internal reflection,Diffraction,Total internal reflection,IT-1
IT,ENGINEERING PHYSICS,1,4,Which laser operates on the principle of stimulated emission using a gas medium?,Ruby laser,He-Ne laser, Semiconductor laser,CO2 laser,He-Ne laser,IT-1
IT,ENGINEERING PHYSICS,1,5,The Meissner effect is associated with:,The absorption of magnetic fields,The expulsion of magnetic fields from a superconductor,The increase of resistance in superconductors,The formation of Cooper pairs,The expulsion of magnetic fields from a superconductor,IT-1
IT,ENGINEERING PHYSICS,1,5,Quantum dots are characterized by:,Two-dimensional structures,Zero-dimensional structures,One-dimensional structures,Three-dimensional structures without quantum effects,Zero-dimensional structures,IT-1
IT,ENGINEERING PHYSICS,1,5,Which type of superconductor allows partial penetration of magnetic fields?,Type I,Type II,High-temperature superconductors,None of the above,Type II,IT-1
CSE,ENGINEERING CHEMISTRY,1,1,"In molecular orbital theory, the bond order is defined as:",The number of bonds between two atoms,The difference between the number of bonding and antibonding electrons divided by two, The total number of electrons in a molecule,The energy required to break a bond,The difference between the number of bonding and antibonding electrons divided by two,CSE-1
CSE,ENGINEERING CHEMISTRY,1,1,Which of the following is a characteristic of liquid crystals?,They have a fixed structure,They can flow like liquids but have some ordered structure, They are always solid at room temperature,They do not respond to electric fields,They can flow like liquids but have some ordered structure,CSE-1
CSE,ENGINEERING CHEMISTRY,1,1,Fullerenes are primarily composed of:,Carbon atoms arranged in a linear structure,B) Carbon atoms arranged in a spherical or tubular structure,Silicon atoms arranged in a crystalline structure,Hydrogen and oxygen atoms,Carbon atoms arranged in a spherical or tubular structure,CSE-1
CSE,ENGINEERING CHEMISTRY,1,1,What is the conventional route for synthesizing adipic acid?,They have a fixed structure,They can flow like liquids but have some ordered structure, They are always solid at room temperature,They do not respond to electric fields,They can flow like liquids but have some ordered structure,CSE-1
CSE,ENGINEERING CHEMISTRY,1,2,Which spectroscopic technique is primarily used to determine molecular structure through the interaction of light with molecular vibrations?,"UV Spectroscopy",IR Spectroscopy,NMR Spectroscopy,Mass Spectrometry,IR Spectroscopy,CSE-1
CSE,ENGINEERING CHEMISTRY,1,2,Optical isomerism occurs in compounds that:,Have no chiral centers,Have chiral centers,Are symmetrical,Are aromatic,Have chiral centers,CSE-1
CSE,ENGINEERING CHEMISTRY,1,2,Geometrical isomerism is most commonly observed in:,Compounds with chiral centers,Cyclic compounds and alkenes,Aromatic compounds,Alkanes,Cyclic compounds and alkenes,CSE-1
CSE,ENGINEERING CHEMISTRY,1,3,Which type of cell is a dry cell?,Primary cell,Secondary cell,Fuel cell,Flow battery,Primary cell,CSE-1
CSE,ENGINEERING CHEMISTRY,1,3,Corrosion can be defined as:,The process of metal being coated with another metal,"The deterioration of materials due to chemical reactions with the environment",The process of metal being strengthened,The formation of alloys,The deterioration of materials due to chemical reactions with the environment,CSE-1
CSE,ENGINEERING CHEMISTRY,1,3,Which method is NOT commonly used to prevent corrosion?,Galvanization, Cathodic protection,Painting,Increasing temperature,Increasing temperature,CSE-1
CSE,ENGINEERING CHEMISTRY,1,4,Hardness of water is primarily caused by the presence of:,Sodium ions,Calcium and magnesium ions,Chloride ions,Sulfate ions,Calcium and magnesium ions,CSE-1
CSE,ENGINEERING CHEMISTRY,1,4,Which method is used for water softening?,Filtration,Distillation,Ion exchange,Reverse osmosis,Ion exchange,CSE-1
CSE,ENGINEERING CHEMISTRY,1,5,Thermoplastic polymers are characterized by:,Permanent cross-linking,Ability to be remolded upon heating,High melting points,Inability to dissolve in solvents,Ability to be remolded upon heating,CSE-1
CSE,ENGINEERING CHEMISTRY,1,5,Which of the following is a characteristic of carbon nanotubes (CNT)?,They are brittle and easily break,"They have high tensile strength and electrical conductivity",They are primarily used as insulators,They are composed of silicon atoms,They have high tensile strength and electrical conductivity,CSE-1
CSE,ENGINEERING CHEMISTRY,1,5,Organometallic compounds are characterized by:,The presence of carbon-to-metal bonds,The absence of metals,Being exclusively ionic,Having only carbon-to-hydrogen bonds,The presence of carbon-to-metal bonds,CSE-1
